concept_code,concept_name,account_code,account_name,side
SALARY,Sueldos,510506,Sueldos,DEBIT
TRANSPORT_ALLOWANCE,Auxilio transporte,510527,Auxilio de transporte,DEBIT
CONNECTIVITY_ALLOWANCE,Auxilio conectividad,510545,Auxilios,DEBIT
COMMISSIONS,Comisiones,510518,Comisiones,DEBIT
NON_SALARY_BONUS,Bonificaciones no salariales,510548,Bonificaciones,DEBIT
OVERTIME_TOTAL,Horas extras y recargos,510515,Horas extras y recargos,DEBIT
EMPLOYER_HEALTH,Salud empleador,510569,Aportes a entidades promotoras de salud EPS,DEBIT
EMPLOYER_PENSION,Pensión empleador,510570,Aportes a fondos de pensiones y/o cesantías,DEBIT
EMPLOYER_ARL,ARL empleador,510568,Aportes a administradoras de riesgos profesionales ARP,DEBIT
COMPENSATION_FUND,Caja compensación,510572,Aportes cajas de compensación familiar,DEBIT
SENA,SENA,510578,SENA,DEBIT
ICBF,ICBF,510575,Aportes ICBF,DEBIT
SEVERANCE,Cesantías,510530,Cesantías,DEBIT
SEVERANCE_INTEREST,Intereses cesantías,510533,Intereses sobre cesantías,DEBIT
SERVICE_BONUS,Prima de servicios,510536,Prima de servicios,DEBIT
VACATION,Vacaciones,510539,Vacaciones,DEBIT
EMPLOYEE_HEALTH,Salud por pagar,237005,Aportes a entidades promotoras de salud EPS,CREDIT
EMPLOYEE_PENSION,Pensión por pagar,238030,Fondos de cesantías y/o pensiones,CREDIT
SOLIDARITY_FUND,Fondo solidaridad,237045,Fondos,CREDIT
WITHHOLDING_TAX,Retefuente por pagar,236505,Salarios y pagos laborales,CREDIT
OTHER_DEDUCTIONS,Otras deducciones,237095,Otros,CREDIT
LOAN_DEDUCTION,Préstamos a empleados,136595,Otros cuentas por cobrar a trabajadores,CREDIT
NET_PAY,Neto a pagar,2505,Salarios por pagar,CREDIT
EMPLOYER_HEALTH,Salud empleador por pagar,237005,Aportes a entidades promotoras de salud EPS,CREDIT
EMPLOYER_PENSION,Pensión empleador por pagar,238030,Fondos de cesantías y/o pensiones,CREDIT
EMPLOYER_ARL,ARL por pagar,237006,Aportes a administradoras de riesgos profesionales ARP,CREDIT
COMPENSATION_FUND,Caja compensación por pagar,237010,Aportes al ICBF SENA y cajas de compensación,CREDIT
SENA,SENA por pagar,237010,Aportes al ICBF SENA y cajas de compensación,CREDIT
ICBF,ICBF por pagar,237010,Aportes al ICBF SENA y cajas de compensación,CREDIT
SEVERANCE,Cesantías por pagar,251010,Ley 50 de 1990 y normas posteriores,CREDIT
SEVERANCE_INTEREST,Intereses cesantías por pagar,2515,Intereses sobre cesantías,CREDIT
SERVICE_BONUS,Prima por pagar,2520,Prima de servicios,CREDIT
VACATION,Vacaciones por pagar,2525,Vacaciones consolidadas,CREDIT
SERVICE_BONUS_SEMESTER_ONE,Prima servicios I,510536,Prima de servicios,DEBIT
SERVICE_BONUS_SEMESTER_TWO,Prima servicios II,510536,Prima de servicios,DEBIT
SERVICE_BONUS_SEMESTER_ONE,Prima servicios I por pagar,2520,Prima de servicios,CREDIT
SERVICE_BONUS_SEMESTER_TWO,Prima servicios II por pagar,2520,Prima de servicios,CREDIT
PAYROLL_PAYMENT_CASH,Pago en Efectivo,110505,Caja general,CREDIT
PAYROLL_PAYMENT_BANK,Pago en Banco,111005,Moneda nacional,CREDIT
PAYROLL_PAYMENT_OTHER,Pago en Otros,111005,Moneda nacional,CREDIT
