code,name,grupoCode
1105,Caja,11
1110,Bancos,11
1115,Remesas en tránsito,11
1120,Cuentas de ahorro,11
1125,Fondos,11
1205,Acciones,12
1210,Cuotas o partes de interés social,12
1215,Bonos,12
1220,Cédulas,12
1225,Certificados,12
1230,Papeles comerciales,12
1235,Títulos,12
1240,Aceptaciones bancarias o financieras,12
1245,Derechos fiduciarios,12
1250,Derechos de recompra de inversiones negociadas (repos),12
1255,Obligatorias,12
1260,Cuentas en participación,12
1295,Otras inversiones,12
1299,Provisiones,12
1305,Clientes,13
1310,Cuentas corrientes comerciales,13
1315,Cuentas por cobrar a casa matriz,13
1320,Cuentas por cobrar a vinculados económicos,13
1323,Cuentas por cobrar a directores,13
1325,Cuentas por cobrar a socios y accionistas,13
1328,Aportes por cobrar,13
1330,Anticipos y avances,13
1332,Cuentas de operación conjunta,13
1335,Depósitos,13
1340,Promesas de compra venta,13
1345,Ingresos por cobrar,13
1350,Retención sobre contratos,13
1355,Anticipo de impuestos y contribuciones o saldos a favor,13
1360,Reclamaciones,13
1365,Cuentas por cobrar a trabajadores,13
1370,Préstamos a particulares,13
1380,Deudores varios,13
1385,Derechos de recompra de cartera negociada,13
1390,Deudas de difícil cobro,13
1399,Provisiones,13
1405,Materias primas,14
1410,Productos en proceso,14
1415,Obras de construcción en curso,14
1417,Obras de urbanismo,14
1420,Contratos en ejecución,14
1425,Cultivos en desarrollo,14
1428,Plantaciones agrícolas,14
1430,Productos terminados,14
1435,Mercancías no fabricadas por la empresa,14
1440,Bienes raíces para la venta,14
1445,Semovientes,14
1450,Terrenos,14
1455,"Materiales, repuestos y accesorios",14
1460,Envases y empaques,14
1465,Inventarios en tránsito,14
1499,Provisiones,14
1504,Terrenos,15
1506,Materiales proyectos petroleros,15
1508,Construcciones en curso,15
1512,Maquinaria y equipos en montaje,15
1516,Construcciones y edificaciones,15
1520,Maquinaria y equipo,15
1524,Equipo de oficina,15
1528,Equipo de computación y comunicación,15
1532,Equipo médico-científico,15
1536,Equipo de hoteles y restaurantes,15
1540,Flota y equipo de transporte,15
1544,Flota y equipo fluvial y/o marítimo,15
1548,Flota y equipo aéreo,15
1552,Flota y equipo férreo,15
1556,"Acueductos, plantas y redes",15
1560,Armamento de vigilancia,15
1562,Envases y empaques,15
1564,Plantaciones agrícolas y forestales,15
1568,Vías de comunicación,15
1572,Minas y canteras,15
1576,Pozos artesianos,15
1580,Yacimientos,15
1584,Semovientes,15
1588,"Propiedades, planta y equipo en tránsito",15
1592,Depreciación acumulada,15
1596,Depreciación diferida,15
1597,Amortización acumulada,15
1598,Agotamiento acumulado,15
1599,Provisiones,15
1605,Crédito mercantil,16
1610,Marcas,16
1615,Patentes,16
1620,Concesiones y franquicias,16
1625,Derechos,16
1630,Know how,16
1635,Licencias,16
1698,Depreciación y/o amortización acumulada,16
1699,Provisiones,16
1705,Gastos pagados por anticipado,17
1710,Cargos diferidos,17
1715,Costos de exploración por amortizar,17
1720,Costos de explotación y desarrollo,17
1730,Cargos por corrección monetaria diferida,17
1798,Amortización acumulada,17
1805,Bienes de arte y cultura,18
1895,Diversos,18
1899,Provisiones,18
1905,De inversiones,19
1910,"De propiedades, planta y equipo",19
1995,De otros activos,19
2105,Bancos nacionales,21
2110,Bancos del exterior,21
2115,Corporaciones financieras,21
2120,Compañías de financiamiento comercial,21
2125,Corporaciones de ahorro y vivienda,21
2130,Entidades financieras del exterior,21
2135,Compromisos de recompra de inversiones negociadas,21
2140,Compromisos de recompra de cartera negociada,21
2145,Obligaciones gubernamentales,21
2195,Otras obligaciones,21
2205,Nacionales,22
2210,Del exterior,22
2215,Cuentas corrientes comerciales,22
2220,Casa matriz,22
2225,Compañías vinculadas,22
2305,Cuentas corrientes comerciales,23
2310,A casa matriz,23
2315,A compañías vinculadas,23
2320,A contratistas,23
2330,Órdenes de compra por utilizar,23
2335,Costos y gastos por pagar,23
2340,Instalamentos por pagar,23
2345,Acreedores oficiales,23
2350,Regalías por pagar,23
2355,Deudas con accionistas o socios,23
2357,Deudas con directores,23
2360,Dividendos o participaciones por pagar,23
2365,Retención en la fuente,23
